artist_name, tag_name, tag_count_pct
D. DIGGLER,minimal,0.107181
Dadub,techno,0.213542
Dadub,electronic,0.109375
Dadub,dub,0.125
Dadub,dub techno,0.260417
Damian Lazarus,minimal,0.165563
Damian Lazarus,techno,0.102649
Damian Lazarus,minimal techno,0.142384
Damian Lazarus,electronic,0.102649
Damian Schwartz,minimal,0.248139
Damian Schwartz,techno,0.158809
Damian Schwartz,minimal techno,0.218362
Damian Schwartz,deep,0.101737
Damon Wild,minimal,0.1
Damon Wild,techno,0.4
Damon Wild,minimal techno,0.12
Dan Andrei,minimal,0.251889
Dan Andrei,techno,0.166247
Dan Andrei,minimal techno,0.251889
Dan Andrei,tech house,0.125945
Dan Berkson,minimal,0.192547
Dan Berkson,techno,0.310559
Dan Berkson,minimal techno,0.192547
Dan Berkson & James What,techno,0.166667
Dan Berkson & James What,minimal techno,0.116667
Dan Berkson & James What,electronic,0.1
Dan Berkson & James What,House,0.116667
Dan Berkson & James What,tech house,0.133333
Dan Drastic,minimal,0.174142
Dan Drastic,minimal techno,0.263852
Dan Drastic,tech house,0.218997
Dan F,minimal techno,0.110887
Dan F,breakbeat,0.201613
Dan F,progressive breaks,0.155242
Dana Ruh,minimal,0.2457
Dana Ruh,minimal techno,0.12285
Dana Ruh,under 2000 listeners,0.12285
Dandi & Ugo,minimal,0.182482
Dandi & Ugo,techno,0.122263
Dandi & Ugo,minimal techno,0.169708
Daniel Bell,minimal,0.15121
Daniel Bell,techno,0.201613
Daniel Bell,minimal techno,0.116935
Daniel Blomqvist,ambient,0.184843
Daniel Blomqvist,dub,0.170055
Daniel Dreier,minimal,0.318471
Daniel Dreier,techno,0.146497
Daniel Dreier,minimal techno,0.210191
Daniel Dreier,electronic,0.146497
Daniel Mehlhart,minimal,0.173913
Daniel Mehlhart,techno,0.121739
Daniel Mehlhart,minimal techno,0.113043
Daniel Mehlhart,electronic,0.104348
Daniel Mehlhart,tech house,0.130435
Daniel Stefanik,minimal,0.19802
Daniel Stefanik,minimal techno,0.118812
Daniel Steinberg,minimal,0.296736
Daniel Steinberg,techno,0.181009
Daniel Steinberg,minimal techno,0.148368
Daniel Steinberg,electronic,0.118694
Daniel Steinberg,tech house,0.15727
Daniele Papini,minimal,0.30303
Daniele Papini,techno,0.242424
Daniele Papini,minimal techno,0.181818
Danton Eeprom,minimal,0.232558
Danton Eeprom,techno,0.134884
Danton Eeprom,electronic,0.14186
Dapayk,minimal,0.321543
Dapayk,techno,0.118971
Dapayk,minimal techno,0.106109
Dapayk,electronic,0.163987
Dapayk & Padberg,minimal,0.265957
Dapayk & Padberg,electronic,0.12766
Dapayk Solo,minimal,0.277778
Dapayk Solo,techno,0.155556
Dapayk Solo,minimal techno,0.183333
Dapayk Solo,electronic,0.111111
Dario Zenker,minimal,0.287356
Dario Zenker,techno,0.155172
Dario Zenker,minimal techno,0.195402
Dario Zenker,electronic,0.103448
Darko Esser,minimal,0.124783
Darko Esser,techno,0.17331
Darko Esser,electronic,0.124783
Das,minimal techno,0.188679
Das,sexy,0.124528
Das,electronical,0.188679
Daso,minimal,0.182149
Daso,techno,0.125683
Daso,electro,0.15847
Daso,tech house,0.120219
Daso,deep house,0.111111
Databoy78,minimal,0.137363
Databoy78,techno,0.137363
Dataworx,minimal,0.136771
Dataworx,techno,0.224215
Dataworx,minimal techno,0.206278
Dave Tarrida,techno,0.316456
Dave Tarrida,minimal techno,0.10443
Dave Tarrida,electronic,0.10443
Dave Tarrida,tresor,0.126582
David Alvarado,House,0.103611
David Alvarado,tech house,0.103611
David Alvarado,deep house,0.156986
David K,minimal,0.15674
David K,electronic,0.101881
David K,House,0.119122
David K,deep house,0.101881
Davide Squillace,minimal,0.210526
Davide Squillace,techno,0.126316
Davide Squillace,minimal techno,0.168421
Davide Squillace,electronic,0.126316
Davis & May,minimal,0.111311
Davis & May,minimal techno,0.111311
Davis & May,neotrance,0.179533
Daze Maxim,minimal,0.251256
Daze Maxim,techno,0.228643
Daze Maxim,minimal techno,0.188442
Daze Maxim,electronic,0.125628
DBX,techno,0.206186
DBX,minimal techno,0.119588
DBX,detroit techno,0.127835
Deadbeat,minimal,0.1125
Deadbeat,electronic,0.120833
Deadbeat,ambient,0.145833
Deadbeat,dub,0.208333
deadmau5,electronic,0.199513
deadmau5,electro,0.114355
deadmau5,House,0.243309
deadmau5,Progressive House,0.184915
Decomposed Subsonic,minimal,0.169205
Decomposed Subsonic,minimal techno,0.14044
Decomposed Subsonic,electronic,0.14044
Decomposed Subsonic,microhouse,0.14044
Deepchild,minimal,0.154083
Deepchild,techno,0.104777
Deepchild,electronic,0.124807
DeepChord presents Echospace,minimal,0.101124
DeepChord presents Echospace,minimal techno,0.103933
DeepChord presents Echospace,ambient,0.160112
DeepChord presents Echospace,dub,0.120787
DeepChord presents Echospace,dub techno,0.280899
Dejan Galic,techno,0.25641
Dejan Galic,minimal techno,0.230769
Dejan Galic,electronic,0.153846
Dejan Galic,idm,0.128205
Delete,minimal,0.105882
Delete,dubstep,0.235294
Dema,minimal,0.114286
Dema,techno,0.142857
Dema,minimal techno,0.142857
Der Dritte Raum,minimal,0.113274
Der Dritte Raum,techno,0.176991
Der Dritte Raum,electronic,0.168142
Dettinger,minimal,0.104359
Dettinger,electronic,0.1321
Dettinger,ambient,0.125495
Dettinger,Kompakt,0.114927
DeWalta,minimal,0.142857
DeWalta,minimal techno,0.142857
DeWalta,electronic,0.107143
DeWalta,vakant,0.107143
Diamond Version,techno,0.143488
Diamond Version,minimal techno,0.15011
Diamond Version,electronic,0.112583
Diamond Version,glitch,0.220751
Die Sektor,industrial,0.161538
Die Sektor,ebm,0.176923
Die Sektor,dark electro,0.25641
Die Sektor,Harsh EBM,0.148718
Die Sektor,Aggrotech,0.130769
digihouse,minimal techno,0.222222
digihouse,House,0.111111
digihouse,deep house,0.222222
digihouse,minimal house,0.111111
digihouse,electrohouse,0.111111
digihouse,under 2000 listeners,0.222222
Digitaline,minimal,0.215054
Digitaline,techno,0.137634
Digitaline,Cadenza,0.163441
Digitalverein,minimal,0.122302
Digitalverein,electronic,0.115108
Digitalverein,dub,0.143885
Dilo,minimal,0.134953
Dimbiman,minimal,0.230947
Dimbiman,minimal techno,0.13164
Dimbiman,microhouse,0.180139
Dinky,minimal,0.146853
Dinky,techno,0.134615
Dinky,electronic,0.174825
Dino Sabatini,techno,0.235849
Dino Sabatini,minimal techno,0.235849
