id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,availableBikes,stAddress1,city,postalCode,location,pct_available,distance_from_request
377,6 Ave & Canal St,25,47,40.72243797,-74.00566443,In Service,22,6 Ave & Canal St,,,,0.46808510638297873,2.343966462754896
379,W 31 St & 7 Ave,24,42,40.749156,-73.9916,In Service,18,W 31 St & 7 Ave,,,,0.42857142857142855,5.348950065536484
380,W 4 St & 7 Ave S,6,39,40.73401143,-74.00293877,In Service,33,W 4 St & 7 Ave S,,,,0.8461538461538461,3.604548610469157
382,University Pl & E 14 St,5,36,40.73492695,-73.99200509,In Service,31,University Pl & E 14 St,,,,0.8611111111111112,3.7871984450462794
383,Greenwich Ave & Charles St,6,39,40.735238,-74.000271,In Service,33,Greenwich Ave & Charles St,,,,0.8461538461538461,3.7396453567826016
384,Fulton St & Waverly Ave,20,31,40.68317813,-73.9659641,In Service,11,Fulton St & Waverly Ave,,,,0.3548387096774194,3.6187495496041726
385,E 55 St & 2 Ave,2,29,40.75797322,-73.96603308,In Service,27,E 55 St & 2 Ave,,,,0.9310344827586207,6.9362151458942245
386,Centre St & Worth St,43,43,40.71494807,-74.00234482,In Service,0,Centre St & Worth St,,,,0.0,1.4859574478563617
387,Centre St & Chambers St,37,39,40.71273266,-74.0046073,In Service,2,Centre St & Chambers St,,,,0.05128205128205128,1.2670050697856627
388,W 26 St & 10 Ave,35,35,40.749717753,-74.002950346,In Service,0,W 26 St & 10 Ave,,,,0.0,5.349162463842391
389,Broadway & Berry St,16,27,40.71044554,-73.96525063,In Service,11,Broadway & Berry St,,,,0.4074074074074074,3.1987708589916823
390,Duffield St & Willoughby St,31,31,40.69221589,-73.9842844,In Service,0,Duffield St & Willoughby St,,,,0.0,1.7781959292421912
391,Clark St & Henry St,24,31,40.69760127,-73.99344559,In Service,7,Clark St & Henry St,,,,0.22580645161290322,0.8026924097656851
392,Jay St & Tech Pl,26,32,40.695065,-73.987167,In Service,6,Jay St & Tech Pl,,,,0.1875,1.4004784848711689
393,E 5 St & Avenue C,18,31,40.72299208,-73.97995466,In Service,13,E 5 St & Avenue C,,,,0.41935483870967744,2.9851728080956135
394,E 9 St & Avenue C,17,32,40.72521311,-73.97768752,In Service,15,E 9 St & Avenue C,,,,0.46875,3.2972054289535278
395,Bond St & Schermerhorn St,24,30,40.68807003,-73.98410637,In Service,6,Bond St & Schermerhorn St,,,,0.2,2.0924299186040787
396,Lefferts Pl & Franklin Ave,25,25,40.680342423,-73.9557689392,In Service,0,Lefferts Pl & Franklin Ave,,,Bedford-Stuyvesant,0.0,4.511133364084827
