id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,availableBikes,stAddress1,city,postalCode,location
454,E 51 St & 1 Ave,28,35,40.75455731,-73.96592976,In Service,7,E 51 St & 1 Ave,,,
455,1 Ave & E 44 St,37,39,40.75001986,-73.96905301,In Service,2,1 Ave & E 44 St,,,
456,E 53 St & Madison Ave,27,35,40.7597108,-73.97402311,In Service,8,E 53 St & Madison Ave,,,
457,Broadway & W 57 St,23,59,40.76695317,-73.98169333,In Service,36,Broadway & W 57 St,,,
458,11 Ave & W 27 St,10,31,40.751396,-74.005226,In Service,21,11 Ave & W 27 St,,,
459,W 18 St & 11 Ave,3,21,40.74522724,-74.00797904,In Service,18,W 18 St & 11 Ave,,,
460,S 4 St & Wythe Ave,14,23,40.71285887,-73.96590294,In Service,9,S 4 St & Wythe Ave,,,
461,E 20 St & 2 Ave,3,3,40.73587678,-73.98205027,Not In Service,0,E 20 St & 2 Ave,,,
462,W 22 St & 10 Ave,0,47,40.74691959,-74.00451887,In Service,47,W 22 St & 10 Ave,,,
463,9 Ave & W 16 St,17,25,40.74206539,-74.00443172,In Service,8,9 Ave & W 16 St,,,
464,E 56 St & 3 Ave,30,59,40.75934501,-73.96759673,In Service,29,E 56 St & 3 Ave,,,
465,Broadway & W 41 St,25,39,40.75513557,-73.98658032,In Service,14,Broadway & W 41 St,,,
466,W 25 St & 6 Ave,22,35,40.74395411,-73.99144871,In Service,13,W 25 St & 6 Ave,,,
467,Dean St & 4 Ave,14,34,40.68312489,-73.97895137,In Service,20,Dean St & 4 Ave,,,
468,Broadway & W 55 St,51,59,40.7652654,-73.98192338,In Service,8,Broadway & W 55 St,,,
469,Broadway & W 53 St,48,57,40.76344058,-73.98268129,In Service,9,Broadway & W 53 St,,,
470,W 20 St & 8 Ave,20,37,40.74345335,-74.00004031,In Service,17,W 20 St & 8 Ave,,,
471,Grand St & Havemeyer St,1,27,40.71286844,-73.95698119,In Service,26,Grand St & Havemeyer St,,,
472,E 32 St & Park Ave,39,41,40.7457121,-73.98194829,In Service,2,E 32 St & Park Ave,,,
473,Rivington St & Chrystie St,28,42,40.72110063,-73.9919254,In Service,14,Rivington St & Chrystie St,,,
474,5 Ave & E 29 St,47,47,40.7451677,-73.98683077,In Service,0,5 Ave & E 29 St,,,
475,E 16 St & Irving Pl,3,37,40.73524276,-73.98758561,In Service,34,E 16 St & Irving Pl,,,
476,E 31 St & 3 Ave,41,47,40.74394314,-73.97966069,In Service,5,E 31 St & 3 Ave,,,
